fecha,casos_confirmados,fallecidos,Primera,Segunda
2020-03-03,0,0,0,0
2020-03-04,2,0,0,0
2020-03-05,1,0,0,0
2020-03-06,1,0,0,0
2020-03-07,2,0,0,0
2020-03-08,3,0,0,0
2020-03-09,5,0,0,0
2020-03-10,2,0,0,0
2020-03-11,6,0,0,0
2020-03-12,10,0,0,0
2020-03-13,10,0,0,0
2020-03-14,18,0,0,0
2020-03-15,14,0,0,0
2020-03-16,81,0,0,0
2020-03-17,45,0,0,0
2020-03-18,37,0,0,0
2020-03-19,104,1,0,0
2020-03-20,92,1,0,0
2020-03-21,103,1,0,0
2020-03-22,95,0,0,0
2020-03-23,114,1,0,0
2020-03-24,176,0,0,0
2020-03-25,220,1,0,0
2020-03-26,164,1,0,0
2020-03-27,304,1,0,0
2020-03-28,299,1,0,0
2020-03-29,230,1,0,0
2020-03-30,310,3,0,0
2020-03-31,289,5,0,0
2020-04-01,293,1,0,0
2020-04-02,373,6,0,0
2020-04-03,333,7,0,0
2020-04-04,424,8,0,0
2020-04-05,310,1,0,0
2020-04-06,344,6,0,0
2020-04-07,301,6,0,0
2020-04-08,430,11,0,0
2020-04-09,426,9,0,0
2020-04-10,529,7,0,0
2020-04-11,426,8,0,0
2020-04-12,286,4,0,0
2020-04-13,312,10,0,0
2020-04-14,392,4,0,0
2020-04-15,356,11,0,0
2020-04-16,534,8,0,0
2020-04-17,445,6,0,0
2020-04-18,478,7,0,0
2020-04-19,358,10,0,0
2020-04-20,419,10,0,0
2020-04-21,325,11,0,0
2020-04-22,464,5,0,0
2020-04-23,516,8,0,0
2020-04-24,494,9,0,0
2020-04-25,552,7,0,0
2020-04-26,473,13,0,0
2020-04-27,482,14,0,0
2020-04-28,552,9,0,0
2020-04-29,770,9,0,0
2020-04-30,888,13,0,0
2020-05-01,985,11,0,0
2020-05-02,1427,9,0,0
2020-05-03,1228,19,0,0
2020-05-04,980,16,0,0
2020-05-05,1317,15,0,0
2020-05-06,1032,22,0,0
2020-05-07,1533,32,0,0
2020-05-08,1391,19,0,0
2020-05-09,1247,33,0,0
2020-05-10,1647,33,0,0
2020-05-11,1197,26,0,0
2020-05-12,1658,32,0,0
2020-05-13,2660,41,0,0
2020-05-14,2659,43,0,0
2020-05-15,2502,44,0,0
2020-05-16,1886,61,0,0
2020-05-17,2353,56,0,0
2020-05-18,2278,75,0,0
2020-05-19,3520,73,0,0
2020-05-20,4038,81,0,0
2020-05-21,3964,78,0,0
2020-05-22,4276,83,0,0
2020-05-23,3536,108,0,0
2020-05-24,3709,119,0,0
2020-05-25,4895,101,0,0
2020-05-26,3964,118,0,0
2020-05-27,4328,140,0,0
2020-05-28,4654,129,0,0
2020-05-29,3695,143,0,0
2020-05-30,4220,150,0,0
2020-05-31,4830,132,0,0
2020-06-01,5471,158,0,0
2020-06-02,3527,157,0,0
2020-06-03,4942,167,0,0
2020-06-04,4664,165,0,0
2020-06-05,4207,171,0,0
2020-06-06,5246,178,0,0
2020-06-07,6405,165,0,0
2020-06-08,4696,157,0,0
2020-06-09,3913,187,0,0
2020-06-10,5737,177,0,0
2020-06-11,5596,187,0,0
2020-06-12,6754,183,0,0
2020-06-13,6509,195,0,0
2020-06-14,6938,176,0,0
2020-06-15,5143,170,0,0
2020-06-16,5013,188,0,0
2020-06-17,4757,189,0,0
2020-06-18,4475,140,0,0
2020-06-19,6290,167,0,0
2020-06-20,5355,149,0,0
2020-06-21,5607,149,0,0
2020-06-22,4608,140,0,0
2020-06-23,3804,139,0,0
2020-06-24,3649,137,0,0
2020-06-25,4648,138,0,0
2020-06-26,4296,139,0,0
2020-06-27,4406,125,0,0
2020-06-28,4216,134,0,0
2020-06-29,4017,123,0,0
2020-06-30,3394,125,0,0
2020-07-01,2650,112,0,0
2020-07-02,2498,133,0,0
2020-07-03,3548,129,0,0
2020-07-04,3758,102,0,0
2020-07-05,3685,93,0,0
2020-07-06,3025,113,0,0
2020-07-07,2462,116,0,0
2020-07-08,2064,114,0,0
2020-07-09,3133,113,0,0
2020-07-10,3058,88,0,0
2020-07-11,2755,89,0,0
2020-07-12,3012,88,0,0
2020-07-13,2616,104,0,0
2020-07-14,1836,88,0,0
2020-07-15,1712,85,0,0
2020-07-16,2475,99,0,0
2020-07-17,2840,81,0,0
2020-07-18,2185,73,0,0
2020-07-19,2082,66,0,0
2020-07-20,2099,69,0,0
2020-07-21,1656,90,0,0
2020-07-22,1741,74,0,0
2020-07-23,2371,58,0,0
2020-07-24,2545,81,0,0
2020-07-25,2287,68,0,0
2020-07-26,2198,58,0,0
2020-07-27,2133,87,0,0
2020-07-28,1876,72,0,0
2020-07-29,1773,80,0,0
2020-07-30,1948,68,0,0
2020-07-31,2123,68,0,0
2020-08-01,1979,87,0,0
2020-08-02,2081,60,0,0
2020-08-03,1762,60,0,0
2020-08-04,1462,66,0,0
2020-08-05,1781,61,0,0
2020-08-06,1947,50,0,0
2020-08-07,2149,67,0,0
2020-08-08,2201,48,0,0
2020-08-09,2036,43,0,0
2020-08-10,1988,44,0,0
2020-08-11,1566,53,0,0
2020-08-12,1540,50,0,0
2020-08-13,1852,50,0,0
2020-08-14,2077,63,0,0
2020-08-15,1777,54,0,0
2020-08-16,2086,50,0,0
2020-08-17,1556,58,0,0
2020-08-18,1336,55,0,0
2020-08-19,1233,66,0,0
2020-08-20,1813,64,0,0
2020-08-21,1920,70,0,0
2020-08-22,1926,50,0,0
2020-08-23,1942,43,0,0
2020-08-24,1903,61,0,0
2020-08-25,1406,51,0,0
2020-08-26,1371,50,0,0
2020-08-27,1739,52,0,0
2020-08-28,1868,41,0,0
2020-08-29,2033,49,0,0
2020-08-30,1966,50,0,0
2020-08-31,1753,66,0,0
2020-09-01,1415,55,0,0
2020-09-02,1582,47,0,0
2020-09-03,1758,62,0,0
2020-09-04,1965,51,0,0
2020-09-05,1961,52,0,0
2020-09-06,2077,43,0,0
2020-09-07,1764,47,0,0
2020-09-08,1263,48,0,0
2020-09-09,1482,42,0,0
2020-09-10,1639,65,0,0
2020-09-11,1860,52,0,0
2020-09-12,2135,42,0,0
2020-09-13,2082,53,0,0
2020-09-14,1685,53,0,0
2020-09-15,1536,47,0,0
2020-09-16,1305,41,0,0
2020-09-17,1860,40,0,0
2020-09-18,1673,55,0,0
2020-09-19,1848,55,0,0
2020-09-20,1600,47,0,0
2020-09-21,1194,46,0,0
2020-09-22,1054,47,0,0
2020-09-23,1372,51,0,0
2020-09-24,1731,50,0,0
2020-09-25,2222,58,0,0
2020-09-26,2109,36,0,0
2020-09-27,1923,40,0,0
2020-09-28,1770,39,0,0
2020-09-29,1622,63,0,0
2020-09-30,1684,53,0,0
2020-10-01,1760,43,0,0
2020-10-02,1839,50,0,0
2020-10-03,1880,52,0,0
2020-10-04,1708,41,0,0
2020-10-05,1567,51,0,0
2020-10-06,1554,49,0,0
2020-10-07,1131,50,0,0
2020-10-08,1575,43,0,0
2020-10-09,1750,49,0,0
2020-10-10,1824,45,0,0
2020-10-11,1776,45,0,0
2020-10-12,1517,49,0,0
2020-10-13,1392,38,0,0
2020-10-14,1089,45,0,0
2020-10-15,1122,53,0,0
2020-10-16,1689,47,0,0
2020-10-17,1811,43,0,0
2020-10-18,1759,35,0,0
2020-10-19,1545,47,0,0
2020-10-20,1099,53,0,0
2020-10-21,1152,43,0,0
2020-10-22,1495,46,0,0
2020-10-23,1773,45,0,0
2020-10-24,1631,38,0,0
2020-10-25,1540,38,0,0
2020-10-26,1505,41,0,0
2020-10-27,922,35,0,0
2020-10-28,1004,53,0,0
2020-10-29,1519,47,0,0
2020-10-30,1529,37,0,0
2020-10-31,1686,41,0,0
2020-11-01,1607,40,0,0
2020-11-02,1314,41,0,0
2020-11-03,1009,35,0,0
2020-11-04,846,38,0,0
2020-11-05,1540,50,0,0
2020-11-06,1801,43,0,0
2020-11-07,1568,45,0,0
2020-11-08,1576,30,0,0
2020-11-09,1318,34,0,0
2020-11-10,1083,38,0,0
2020-11-11,904,41,0,0
2020-11-12,1631,34,0,0
2020-11-13,1592,43,0,0
2020-11-14,1644,29,0,0
2020-11-15,1597,49,0,0
2020-11-16,1331,38,0,0
2020-11-17,1003,31,0,0
2020-11-18,945,40,0,0
2020-11-19,1455,37,0,0
2020-11-20,1573,43,0,0
2020-11-21,1550,25,0,0
2020-11-22,1497,46,0,0
2020-11-23,1440,49,0,0
2020-11-24,1005,41,0,0
2020-11-25,1004,27,0,0
2020-11-26,1564,44,0,0
2020-11-27,1570,51,0,0
2020-11-28,1718,26,0,0
2020-11-29,1489,51,0,0
2020-11-30,1313,38,0,0
2020-12-01,1119,36,0,0
2020-12-02,1035,33,0,0
2020-12-03,1507,34,0,0
2020-12-04,1729,36,0,0
2020-12-05,1533,32,0,0
2020-12-06,1710,38,0,0
2020-12-07,1760,40,0,0
2020-12-08,1389,33,0,0
2020-12-09,1247,42,0,0
2020-12-10,1662,36,0,0
2020-12-11,1531,42,0,0
2020-12-12,1807,26,0,0
2020-12-13,2139,22,0,0
2020-12-14,1911,44,0,0
2020-12-15,1498,47,0,0
2020-12-16,1402,47,0,0
2020-12-17,1998,53,0,0
2020-12-18,2404,35,0,0
2020-12-19,2217,36,0,0
2020-12-20,2191,51,0,0
2020-12-21,1943,39,0,0
2020-12-22,1699,48,0,0
2020-12-23,1726,37,0,0
2020-12-24,2395,42,420,0
2020-12-25,2520,47,5202,0
2020-12-26,2564,59,8345,0
2020-12-27,1711,49,8656,0
2020-12-28,1923,38,8656,0
2020-12-29,1958,30,8656,0
2020-12-30,1961,33,8656,0
2020-12-31,3022,45,8656,0
2021-01-01,3588,46,8656,0
2021-01-02,3338,53,8656,0
2021-01-03,2289,46,8656,0
2021-01-04,2450,58,9061,0
2021-01-05,2457,52,10504,0
2021-01-06,2378,62,10709,0
2021-01-07,3685,68,10709,0
2021-01-08,4201,52,10709,0
2021-01-09,4361,54,10709,0
2021-01-10,4181,44,10709,0
2021-01-11,3970,64,10709,0
2021-01-12,3238,55,10709,0
2021-01-13,3394,51,10710,1032
2021-01-14,4177,68,12830,5829
2021-01-15,4471,54,13787,8303
2021-01-16,4313,66,13810,8370
2021-01-17,4340,52,13810,8370
2021-01-18,3918,71,24861,8370
2021-01-19,3400,74,44225,8371
2021-01-20,3583,83,53534,8371
2021-01-21,4363,64,56591,8371
2021-01-22,4956,70,57002,8375
2021-01-23,4550,65,57002,8375
2021-01-24,4498,79,57002,8375
2021-01-25,4068,69,57019,9778
2021-01-26,3322,70,57038,10373
2021-01-27,3371,96,57039,10407
2021-01-28,4260,85,57039,10407
2021-01-29,4606,68,57039,10412
2021-01-30,4160,70,57040,10412
2021-01-31,4209,89,57040,10412
2021-02-01,3779,87,57040,10412
2021-02-02,3138,73,70225,10418
2021-02-03,2616,79,240610,10418
2021-02-04,3589,77,414656,12526
2021-02-05,3786,82,583491,13196
2021-02-06,4063,80,611344,13201
2021-02-07,3804,69,619982,13203
2021-02-08,3464,79,841498,24984
2021-02-09,2829,82,1084008,44373
2021-02-10,2399,101,1356455,52718
2021-02-11,3729,64,1607863,55606
2021-02-12,4169,71,1837148,55816
2021-02-13,3920,66,1866674,55849
2021-02-14,3815,68,1871142,55849
2021-02-15,3333,81,2137019,55849
2021-02-16,2547,60,2357101,55860
2021-02-17,2330,73,2545155,55860
2021-02-18,3866,73,2700435,55861
2021-02-19,3827,70,2842573,55861
2021-02-20,3893,76,2852214,55861
2021-02-21,3618,69,2853376,55861
2021-02-22,3547,74,2961489,55883
2021-02-23,2356,71,3055697,55923
2021-02-24,2554,86,3141800,56097
2021-02-25,4181,71,3227742,56242
2021-02-26,4586,81,3306025,56360
2021-02-27,4523,66,3316069,56364
2021-02-28,4208,73,3316424,56364
2021-03-01,4082,85,3453591,56773
2021-03-02,2747,73,3612555,69193
2021-03-03,3053,54,3770410,223311
2021-03-04,4567,80,3915157,389191
2021-03-05,5325,87,4051385,550949
2021-03-06,5037,80,4061030,575095
2021-03-07,5280,78,4062096,581995
2021-03-08,4733,84,4198718,796116
2021-03-09,3528,96,4337753,1033713
2021-03-10,3958,103,4473572,1299335
2021-03-11,5566,83,4645011,1545061
2021-03-12,5983,80,4796259,1768298
2021-03-13,5928,82,4820550,1794482
2021-03-14,5734,92,4823299,1798322
2021-03-15,5117,91,4981172,2070836
2021-03-16,4591,113,5147819,2314534
2021-03-17,4395,74,5299129,2530621
2021-03-18,6249,95,5447977,2716820
2021-03-19,6604,93,5587867,2871622
2021-03-20,7084,75,5611057,2882640
2021-03-21,6836,87,5613910,2883812
2021-03-22,6155,114,5760679,3005847
2021-03-23,4948,94,5910980,3096493
2021-03-24,4826,96,6065280,3161326
2021-03-25,7023,99,6222758,3216585
2021-03-26,7626,94,6389370,3267726
2021-03-27,7588,101,6402316,3270474
2021-03-28,7326,94,6403285,3270898
2021-03-29,7247,99,6554543,3386460
2021-03-30,5394,113,6688534,3531207
2021-03-31,6053,102,6815636,3684498
2021-04-01,7830,102,6950436,3853109
2021-04-02,8112,98,6952294,3858294
2021-04-03,8028,96,6954175,3859642
2021-04-04,7304,118,6954833,3860109
2021-04-05,5807,109,7034786,4065068
2021-04-06,5164,97,7127956,4211794
2021-04-07,5134,98,7222855,4350245
2021-04-08,8195,135,7299615,4513100
2021-04-09,9171,100,7370499,4661227
2021-04-10,8124,107,7381691,4676069
2021-04-11,7945,106,7382789,4677425
2021-04-12,6372,132,7460916,4836399
2021-04-13,5718,141,7535942,4996772
2021-04-14,5497,97,7615297,5146994
2021-04-15,7357,107,7677597,5291945
2021-04-16,7590,107,7736001,5427853
2021-04-17,7696,108,7743907,5442245
2021-04-18,7294,85,7744783,5444010
2021-04-19,6643,93,7788698,5595225
2021-04-20,5071,109,7827928,5745400
2021-04-21,4914,102,7859076,5891893
2021-04-22,6832,115,7915448,6036293
2021-04-23,7525,99,7955295,6180139
2021-04-24,6796,97,7961045,6192078
2021-04-25,6638,83,7961396,6192770
2021-04-26,6078,99,8004467,6346451
2021-04-27,4141,85,8043491,6479008
2021-04-28,4416,101,8086990,6604681
2021-04-29,6889,95,8117859,6729251
2021-04-30,7199,88,8168804,6766193
2021-05-01,6469,103,8169895,6767403
2021-05-02,6122,92,8170694,6768070
2021-05-03,4874,93,8246708,6843979
2021-05-04,3198,91,8327774,6932651
2021-05-05,3791,86,8409281,7026366
2021-05-06,6202,93,8490877,7103080
2021-05-07,6574,92,8574969,7166991
2021-05-08,6219,95,8592355,7175203
2021-05-09,5521,81,8593315,7175649
2021-05-10,5357,88,8696624,7246102
2021-05-11,3771,99,8804044,7331480
2021-05-12,3920,86,8908894,7410021
2021-05-13,6181,90,9005914,7470723
2021-05-14,6903,91,9109159,7526991
2021-05-15,6769,91,9110210,7527398
2021-05-16,6320,93,9110475,7527569
2021-05-17,5566,92,9235063,7574679
2021-05-18,3787,96,9371161,7622408
2021-05-19,4778,110,9496905,7663702
2021-05-20,7680,91,9625405,7727082
2021-05-21,7614,87,9633707,7728447
2021-05-22,7514,97,9660543,7734733
2021-05-23,6519,88,9664239,7735322
2021-05-24,5374,97,9840099,7796477
2021-05-25,4188,109,10029974,7853427
2021-05-26,5176,102,10210646,7901825
2021-05-27,8117,102,10377590,7938133
2021-05-28,8680,114,10523045,7979046
2021-05-29,8426,110,10564645,7984838
2021-05-30,7772,126,10573764,7985813
2021-05-31,6882,101,10729729,8045496
2021-06-01,5040,128,10869162,8117107
2021-06-02,5631,103,10978262,8188924
2021-06-03,8150,116,11033883,8257525
2021-06-04,8273,82,11076276,8326002
2021-06-05,8867,98,11091028,8339069
2021-06-06,7768,122,11093008,8340300
2021-06-07,6958,113,11146900,8440410
2021-06-08,5568,118,11207130,8544915
2021-06-09,5369,119,11283748,8645293
2021-06-10,7716,93,11380096,8738938
2021-06-11,7972,119,11460725,8833297
2021-06-12,7624,126,11483443,8842701
2021-06-13,7529,105,11484867,8843296
2021-06-14,6234,119,11589933,8955789
