Date_reported,casos_nuevos,muertes_nuevas,region
2020-01-03,0,0,EMRO
2020-01-04,0,0,EMRO
2020-01-05,0,0,EMRO
2020-01-06,0,0,EMRO
2020-01-07,0,0,EMRO
2020-01-08,0,0,EMRO
2020-01-09,0,0,EMRO
2020-01-10,0,0,EMRO
2020-01-11,0,0,EMRO
2020-01-12,0,0,EMRO
2020-01-13,0,0,EMRO
2020-01-14,0,0,EMRO
2020-01-15,0,0,EMRO
2020-01-16,0,0,EMRO
2020-01-17,0,0,EMRO
2020-01-18,0,0,EMRO
2020-01-19,0,0,EMRO
2020-01-20,0,0,EMRO
2020-01-21,0,0,EMRO
2020-01-22,0,0,EMRO
2020-01-23,0,0,EMRO
2020-01-24,0,0,EMRO
2020-01-25,0,0,EMRO
2020-01-26,0,0,EMRO
2020-01-27,0,0,EMRO
2020-01-28,0,0,EMRO
2020-01-29,8,0,EMRO
2020-01-30,0,0,EMRO
2020-01-31,0,0,EMRO
2020-02-01,1,0,EMRO
2020-02-02,0,0,EMRO
2020-02-03,0,0,EMRO
2020-02-04,0,0,EMRO
2020-02-05,0,0,EMRO
2020-02-06,0,0,EMRO
2020-02-07,0,0,EMRO
2020-02-08,2,0,EMRO
2020-02-09,0,0,EMRO
2020-02-10,1,0,EMRO
2020-02-11,0,0,EMRO
2020-02-12,0,0,EMRO
2020-02-13,0,0,EMRO
2020-02-14,5,0,EMRO
2020-02-15,0,0,EMRO
2020-02-16,1,0,EMRO
2020-02-17,0,0,EMRO
2020-02-18,0,0,EMRO
2020-02-19,6,0,EMRO
2020-02-20,3,2,EMRO
2020-02-21,20,0,EMRO
2020-02-22,12,2,EMRO
2020-02-23,15,1,EMRO
2020-02-24,32,3,EMRO
2020-02-25,66,4,EMRO
2020-02-26,72,3,EMRO
2020-02-27,48,7,EMRO
2020-02-28,256,12,EMRO
2020-02-29,20,9,EMRO
2020-03-01,217,0,EMRO
2020-03-02,40,11,EMRO
2020-03-03,939,23,EMRO
2020-03-04,1430,16,EMRO
2020-03-05,617,16,EMRO
2020-03-06,1279,19,EMRO
2020-03-07,1114,21,EMRO
2020-03-08,822,50,EMRO
2020-03-09,640,45,EMRO
2020-03-10,952,54,EMRO
2020-03-11,1090,66,EMRO
2020-03-12,1129,77,EMRO
2020-03-13,1313,85,EMRO
2020-03-14,1817,97,EMRO
2020-03-15,1417,117,EMRO
2020-03-16,1177,130,EMRO
2020-03-17,1545,140,EMRO
2020-03-18,1464,151,EMRO
2020-03-19,1247,151,EMRO
2020-03-20,1546,154,EMRO
2020-03-21,1225,130,EMRO
2020-03-22,1558,136,EMRO
2020-03-23,1819,139,EMRO
2020-03-24,2385,133,EMRO
2020-03-25,2838,152,EMRO
2020-03-26,2836,173,EMRO
2020-03-27,3540,157,EMRO
2020-03-28,3594,164,EMRO
2020-03-29,3711,147,EMRO
2020-03-30,3838,133,EMRO
2020-03-31,4027,169,EMRO
2020-04-01,3740,160,EMRO
2020-04-02,3868,153,EMRO
2020-04-03,3820,164,EMRO
2020-04-04,3446,181,EMRO
2020-04-05,1685,37,EMRO
2020-04-06,4054,182,EMRO
2020-04-07,4218,173,EMRO
2020-04-08,3428,165,EMRO
2020-04-09,3357,145,EMRO
2020-04-10,3308,148,EMRO
2020-04-11,3568,164,EMRO
2020-04-12,3719,172,EMRO
2020-04-13,3768,164,EMRO
2020-04-14,3925,148,EMRO
2020-04-15,3751,140,EMRO
2020-04-16,4043,137,EMRO
2020-04-17,4392,130,EMRO
2020-04-18,4859,122,EMRO
2020-04-19,4008,124,EMRO
2020-04-20,4742,140,EMRO
2020-04-21,5037,137,EMRO
2020-04-22,4879,141,EMRO
2020-04-23,5101,143,EMRO
2020-04-24,4845,139,EMRO
2020-04-25,5676,142,EMRO
2020-04-26,5615,137,EMRO
2020-04-27,5347,104,EMRO
2020-04-28,5305,157,EMRO
2020-04-29,5690,156,EMRO
2020-04-30,5489,143,EMRO
2020-05-01,6168,151,EMRO
2020-05-02,6406,143,EMRO
2020-05-03,5618,130,EMRO
2020-05-04,5690,100,EMRO
2020-05-05,7077,144,EMRO
2020-05-06,7854,175,EMRO
2020-05-07,7968,175,EMRO
2020-05-08,8125,143,EMRO
2020-05-09,8699,140,EMRO
2020-05-10,9706,130,EMRO
2020-05-11,9436,135,EMRO
2020-05-12,8863,125,EMRO
2020-05-13,10243,121,EMRO
2020-05-14,9535,130,EMRO
2020-05-15,11384,169,EMRO
2020-05-16,10479,143,EMRO
2020-05-17,10900,140,EMRO
2020-05-18,11992,138,EMRO
2020-05-19,11845,170,EMRO
2020-05-20,11497,154,EMRO
2020-05-21,14477,165,EMRO
2020-05-22,13199,180,EMRO
